variant_id,run_name,split,config_id,method,neurosymbolic_enabled,decision_mode,symbolic_profile,threshold,tau_high,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,positives_pred,positive_rate_true,positive_rate_pred,auroc,auprc,average_precision,brier_score,log_loss,accepted_count,rejected_count,accept_rate,reject_rate,symbolic_valid_count,symbolic_invalid_count,symbolic_uncertain_count,invalid_block_count,invalid_block_positive_labels,invalid_block_negative_labels,delta_precision,delta_recall,delta_f1,delta_fp,delta_fn,fp_reduction,fp_reduction_rate,recall_loss,recall_loss_rate
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.80,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.8,,0.8802857142857143,0.6885,0.6194690265486725,0.42,0.5005959475566151,0.957,0.043,0.58,210,129,2871,290,3500,500,339,0.14285714285714285,0.09685714285714286,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,339,3161,0.09685714285714286,0.9031428571428571,856.0,1418.0,1226.0,84.0,22.0,62.0,0.07100566957467724,-0.04400000000000004,-0.002112611489972105,-62.0,22.0,62.0,0.32460732984293195,0.04400000000000004,0.09482758620689663
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.80,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.8,,0.8746666666666667,0.660875,0.4288888888888889,0.386,0.4063157894736842,0.93575,0.06425,0.614,193,257,3743,307,4500,500,450,0.1111111111111111,0.1,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,450,4050,0.1,0.9,973.0,1922.0,1605.0,199.0,31.0,168.0,0.08374250984420473,-0.062,0.01641152489579034,-168.0,31.0,168.0,0.3952941176470588,0.062,0.13839285714285715
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=moderate|thr=0.80,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.8,,0.8725714285714286,0.6214999999999999,0.625,0.27,0.3770949720670391,0.973,0.027,0.73,135,81,2919,365,3500,500,216,0.14285714285714285,0.061714285714285715,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,216,3284,0.061714285714285715,0.9382857142857143,493.0,2345.0,662.0,207.0,97.0,110.0,0.07653664302600471,-0.194,-0.12561358697954805,-110.0,97.0,110.0,0.5759162303664922,0.194,0.41810344827586204
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=moderate|thr=0.80,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.8,,0.8768888888888889,0.5965,0.4068965517241379,0.236,0.29873417721518986,0.957,0.043,0.764,118,172,3828,382,4500,500,290,0.1111111111111111,0.06444444444444444,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,290,4210,0.06444444444444444,0.9355555555555556,566.0,3095.0,839.0,359.0,106.0,253.0,0.06175017267945376,-0.21200000000000002,-0.09117008736270399,-253.0,106.0,253.0,0.5952941176470589,0.21200000000000002,0.47321428571428575
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.90,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.9,,0.8765714285714286,0.6096666666666666,0.7023809523809523,0.236,0.3532934131736527,0.9833333333333333,0.016666666666666666,0.764,118,50,2950,382,3500,500,168,0.14285714285714285,0.048,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,168,3332,0.048,0.952,856.0,1418.0,1226.0,38.0,13.0,25.0,0.0664586222838649,-0.026000000000000023,-0.01781140269036996,-25.0,13.0,25.0,0.3333333333333333,0.026000000000000023,0.09923664122137413
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.90,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.9,,0.8826666666666667,0.583125,0.43805309734513276,0.198,0.2727272727272727,0.96825,0.03175,0.802,99,127,3873,401,4500,500,226,0.1111111111111111,0.050222222222222224,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,226,4274,0.050222222222222224,0.9497777777777778,973.0,1922.0,1605.0,96.0,15.0,81.0,0.08401583026438741,-0.03,-0.004644990046449915,-81.0,15.0,81.0,0.3894230769230769,0.03,0.13157894736842105
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=moderate|thr=0.90,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.9,,0.8685714285714285,0.5691666666666666,0.6818181818181818,0.15,0.2459016393442623,0.9883333333333333,0.011666666666666667,0.85,75,35,2965,425,3500,500,110,0.14285714285714285,0.03142857142857143,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,110,3390,0.03142857142857143,0.9685714285714285,493.0,2345.0,662.0,96.0,56.0,40.0,0.04589585172109434,-0.11200000000000002,-0.12520317651976037,-40.0,56.0,40.0,0.5333333333333333,0.11200000000000002,0.4274809160305344
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=moderate|thr=0.90,neuro_symbolic_invalid_blocks,True,invalid_blocks,moderate,0.9,,0.8822222222222222,0.55225,0.4050632911392405,0.128,0.1945288753799392,0.9765,0.0235,0.872,64,94,3906,436,4500,500,158,0.1111111111111111,0.035111111111111114,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,158,4342,0.035111111111111114,0.9648888888888889,566.0,3095.0,839.0,164.0,50.0,114.0,0.051026024058495156,-0.1,-0.08284338739378341,-114.0,50.0,114.0,0.5480769230769231,0.1,0.4385964912280702
pairwise_50_medium_unseen100,neural_logreg,valid,invalid_blocks|profile=conservative|thr=0.95,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.95,,0.8705714285714286,0.5628333333333333,0.7764705882352941,0.132,0.22564102564102564,0.9936666666666667,0.006333333333333333,0.868,66,19,2981,434,3500,500,85,0.14285714285714285,0.024285714285714285,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.14838372411221018,0.47012363905288773,85,3415,0.024285714285714285,0.9757142857142858,856.0,1418.0,1226.0,11.0,6.0,5.0,0.026470588235294135,-0.011999999999999983,-0.015969712614007925,-5.0,6.0,5.0,0.20833333333333334,0.011999999999999983,0.08333333333333322
pairwise_50_medium_unseen100,neural_logreg,test,invalid_blocks|profile=conservative|thr=0.95,neuro_symbolic_invalid_blocks,True,invalid_blocks,conservative,0.95,,0.888,0.5345,0.47619047619047616,0.08,0.136986301369863,0.989,0.011,0.92,40,44,3956,460,4500,500,84,0.1111111111111111,0.018666666666666668,0.8312185,0.3092723291520748,0.3092723291520748,0.1900855760210838,0.582832806566003,84,4416,0.018666666666666668,0.9813333333333333,973.0,1922.0,1605.0,52.0,5.0,47.0,0.1453081232492997,-0.009999999999999995,-0.004523132592401141,-47.0,5.0,47.0,0.5164835164835165,0.009999999999999995,0.11111111111111106
