threshold,accuracy,balanced_accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,tp,fp,tn,fn,support,positives_true,negatives_true,positives_pred,negatives_pred,positive_rate_true,positive_rate_pred,score_min,score_max,score_mean,score_std,auroc,auprc,average_precision,log_loss,brier_score,mean_symbolic_risk,median_symbolic_risk,mean_risk_accepted,mean_risk_rejected,num_nonzero_risk,nonzero_risk_rate,variant_id,run_name,split,symbolic_profile,config_id,mode,lambda_risk,rho,risk_normalization
0.7,0.8534285714285714,0.7578333333333334,0.4897959183673469,0.624,0.5488126649076517,0.8916666666666667,0.10833333333333334,0.376,312,325,2675,188,3500,500,3000,637,2863,0.14285714285714285,0.182,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.043694400837257986,0.0852835021539178,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=0.3,soft_risk_gate,0.0,0.3,sum_weights
0.7,0.8528571428571429,0.7583333333333333,0.48829953198127923,0.626,0.5486415425065732,0.8906666666666667,0.10933333333333334,0.374,313,328,2672,187,3500,500,3000,641,2859,0.14285714285714285,0.18314285714285714,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04570982839313572,0.08488982161594963,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=0.5,soft_risk_gate,0.0,0.5,sum_weights
0.7,0.8528571428571429,0.7583333333333333,0.48829953198127923,0.626,0.5486415425065732,0.8906666666666667,0.10933333333333334,0.374,313,328,2672,187,3500,500,3000,641,2859,0.14285714285714285,0.18314285714285714,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04570982839313572,0.08488982161594963,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=0.75,soft_risk_gate,0.0,0.75,sum_weights
0.7,0.8528571428571429,0.7583333333333333,0.48829953198127923,0.626,0.5486415425065732,0.8906666666666667,0.10933333333333334,0.374,313,328,2672,187,3500,500,3000,641,2859,0.14285714285714285,0.18314285714285714,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.04570982839313572,0.08488982161594963,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.7|rho=1,soft_risk_gate,0.0,1.0,sum_weights
0.8,0.8802857142857143,0.6885,0.6194690265486725,0.42,0.5005959475566151,0.957,0.043,0.58,210,129,2871,290,3500,500,3000,339,3161,0.14285714285714285,0.09685714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.08604871875988611,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.8|rho=0,soft_risk_gate,0.0,0.0,sum_weights
0.8,0.8802857142857143,0.6885,0.6194690265486725,0.42,0.5005959475566151,0.957,0.043,0.58,210,129,2871,290,3500,500,3000,339,3161,0.14285714285714285,0.09685714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.0,0.08604871875988611,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.8|rho=0.1,soft_risk_gate,0.0,0.1,sum_weights
0.8,0.8702857142857143,0.7001666666666667,0.5552884615384616,0.462,0.5043668122270742,0.9383333333333334,0.06166666666666667,0.538,231,185,2815,269,3500,500,3000,416,3084,0.14285714285714285,0.11885714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.029887820512820514,0.08416558581928231,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.8|rho=0.2,soft_risk_gate,0.0,0.2,sum_weights
0.8,0.8691428571428571,0.7003333333333334,0.5497630331753555,0.464,0.5032537960954447,0.9366666666666666,0.06333333333333334,0.536,232,190,2810,268,3500,500,3000,422,3078,0.14285714285714285,0.12057142857142857,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.03372827804107425,0.08374485596707819,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.8|rho=0.3,soft_risk_gate,0.0,0.3,sum_weights
0.8,0.8688571428571429,0.7001666666666667,0.5484633569739953,0.464,0.5027085590465872,0.9363333333333334,0.06366666666666666,0.536,232,191,2809,268,3500,500,3000,423,3077,0.14285714285714285,0.12085714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.03443656422379827,0.08366374173978984,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.8|rho=0.5,soft_risk_gate,0.0,0.5,sum_weights
0.8,0.8688571428571429,0.7001666666666667,0.5484633569739953,0.464,0.5027085590465872,0.9363333333333334,0.06366666666666666,0.536,232,191,2809,268,3500,500,3000,423,3077,0.14285714285714285,0.12085714285714286,0.0063474786064829,1.0,0.35318973845618357,0.30120190552608084,0.8873233333333334,0.5387649018266534,0.5387649018266534,0.47012363905288773,0.14838372411221018,0.07771428571428571,0.0,0.03443656422379827,0.08366374173978984,1418,0.40514285714285714,pairwise_50_medium_unseen100,neural_logreg,valid,conservative,mode=soft_risk_gate|thr=0.8|rho=0.75,soft_risk_gate,0.0,0.75,sum_weights
